DrugBank ID	Accession Numbers	Common name	CAS	UNII	Synonyms	InChI Key	Canonical_SMILES
DB00106	BIOD00051 | BTD00051	Abarelix	183552-38-7	W486SJ5824	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N	CC(C)CC(C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)N(C)C(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C
DB00114	NUTR00045	Pyridoxal phosphate	54-47-7	F06SGE49M6	3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde | 3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate | Codecarboxylase | PLP | Pyridoxal 5-monophosphoric acid ester | Pyridoxal 5-phosphate | Pyridoxal 5'-phosphate | Pyridoxal P | Pyridoxal phosphate anhydrous | Pyridoxal-5P | Pyridoxal-P	NGVDGCNFYWLIFO-UHFFFAOYSA-N	CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
DB00115	APRD00326 | EXPT00965 | NUTR00004	Cyanocobalamin	68-19-9	P6YC3EG204	Cianocobalamina | Cyanocob(III)alamin | Cyanocobalamin | Cyanocobalamine | Cyanocobalaminum | Vitamin B12 | Vitamin B12 complex | Vitamin B12 NOS	RMRCNWBMXRMIRW-WZHZPDAFSA-L	C[C@H](CNC(=O)CC[C@]\1(C)[C@@H](CC(N)=O)[C@H]2[N-]C1=C(/C)C3=NC(=C\C4=NC(=C(/C)C5=N[C@]2(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)/[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/C(C)(C)[C@@H]3CCC(N)=O)O[P]([O-])(=O)O[C@H]6[C@@H](O)[C@H](O[C@@H]6CO)n7cnc8cc(C)c(C)cc78.[Co++]C#N
DB00116	NUTR00056	Tetrahydrofolic acid	135-16-0	43ZWB253H4	5,6,7,8-tetrahydrofolate | 5,6,7,8-tetrahydrofolic acid | Tetrahydrofolate	MSTNYGQPCMXVAQ-KIYNQFGBSA-N	C1C(NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
DB00117	NUTR00030	Histidine	71-00-1	4QD397987E	(S)-4-(2-Amino-2-carboxyethyl)imidazole | (S)-a-Amino-1H-imidazole-4-propanoic acid | (S)-alpha-amino-1H-Imidazole-4-propanoic acid | (S)-alpha-Amino-1H-imidazole-4-propionic acid | (S)-α-amino-1H-Imidazole-4-propanoic acid | HIS | Histidina | Histidine | L-(−)-histidine | L-Histidin | L-Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N	C1=C(NC=N1)CC(C(=O)O)N
DB00118	NUTR00052	Ademetionine	29908-03-0	7LP2MPO46S	AdoMet | S-Adenosylmethionine | SAM | SAM-e | SAMe	MEFKEPWMEQBLKI-AIRLBKTGSA-N	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
DB00119	DB11194 | NUTR00050	Pyruvic acid	127-17-3	8558G7RUTR	2-ketopropionic acid | 2-oxopropanoic acid | 2-Oxopropansäure | 2-Oxopropionsäure | a-Ketopropionic acid | Acetylformic acid | acide pyruvique | alpha-ketopropionic acid | Brenztraubensäure | BTS | Pyroracemic acid | α-ketopropionic acid | α-Oxopropionsäure	LCTONWCANYUPML-UHFFFAOYSA-N	CC(=O)C(=O)O
DB00120	NUTR00044	Phenylalanine	63-91-2	47E5O17Y3R	(S)-2-Amino-3-phenylpropionic acid | (S)-alpha-Amino-beta-phenylpropionic acid | 3-phenyl-L-alanine | beta-Phenyl-L-alanine | F | Fenilalanina | L-Phenylalanine | Phe | Phenylalanine | Phenylalaninum | β-phenyl-L-alanine	COLNVLDHVKWLRT-QMMMGPOBSA-N	C1=CC=C(C=C1)CC(C(=O)O)N
DB00121	NUTR00019	Biotin	58-85-5	6SO6U10H04	(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid | (3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-valeric acid | 5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid | Biotin | Biotina | Biotine | Biotinum | cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid | cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid | cis-Tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid | Coenzyme R | D-(+)-biotin | D-Biotin | Vitamin B7 | Vitamin H	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
DB00122	NUTR00020	Choline	62-49-7	N91BDP6H0X	Bilineurine | Choline ion | N-trimethylethanolamine | N,N,N-trimethylethanol-ammonium | trimethylethanolamine | Vitamin J	OEYIOHPDSNJKLS-UHFFFAOYSA-N	C[N+](C)(C)CCO
DB00123	DB11101 | NUTR00037	L-Lysine	56-87-1	K3Z4F929H6	(S)-2,6-diaminohexanoic acid | (S)-lysine | (S)-α,ε-diaminocaproic acid | 6-ammonio-L-norleucine | L-2,6-Diaminocaproic acid | L-lys | L-Lysin | LYS | Lysina | Lysine | Lysine acid | Lysinum	KDXKERNSBIXSRK-YFKPBYRVSA-N	C(CCN)CC(C(=O)O)N
DB00125	NUTR00014	Arginine	74-79-3	94ZLA3W45F	(2S)-2-amino-5-(carbamimidamido)pentanoic acid | (2S)-2-amino-5-guanidinopentanoic acid | (S)-2-amino-5-guanidinopentanoic acid | (S)-2-Amino-5-guanidinovaleric acid | Arg | Arginina | Arginine | L-(+)-Arginine | L-Arg | L-Arginin | L-arginine | R	ODKSFYDXXFIFQN-BYPYZUCNSA-N	C(CC(C(=O)O)N)CN=C(N)N
DB00126	APRD00084 | DB09541 | DB11167 | DB11170 | DB11316 | DB11317 | EXPT00568 | NUTR00001	Ascorbic acid	50-81-7	PQ6CK8PD0R	acide ascorbique | ácido ascórbico | Acidum ascorbicum | acidum ascorbinicum | Ascorbate | Ascorbic acid | Ascorbinsäure | L-(+)-ascorbic acid | L-Ascorbate | L-Ascorbic Acid | Vitamin C | Vitamina C	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	C(C(C1C(=C(C(=O)O1)O)O)O)O
DB00127	DB02564 | EXPT02947 | NUTR00055	Spermine	71-44-3	2FZ7Y3VOQX	4,9-diaza-1,12-dodecanediamine | 4,9-diazadodecane-1,12-diamine | Musculamine | N,N'-Bis(3-aminopropyl)-1,4-butanediamine | Spermina | Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N	C(CCNCCCN)CNCCCN
DB00128	EXPT01823 | NUTR00016	Aspartic acid	56-84-8	30KYC7MIAI	(S)-2-aminobutanedioic acid | (S)-2-aminosuccinic acid | 2-Aminosuccinic acid | ácido aspártico | Acidum asparticum | Asp | Aspartic acid | D | L-Asp | L-Asparaginsäure | L-Aspartate | L-Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N	C(C(C(=O)O)N)C(=O)O
DB00129	NUTR00043	Ornithine	70-26-8	E524N2IXA3	(S)-2,5-Diaminopentanoate | (S)-2,5-Diaminopentanoic acid | (S)-2,5-diaminovaleric acid | (S)-ornithine | (S)-α,δ-diaminovaleric acid | L-Ornithine | levo-ornithine | Ornithine | Ornithinum | Ornitina	AHLPHDHHMVZTML-BYPYZUCNSA-N	C(CC(C(=O)O)N)CN
DB00130	NUTR00026	L-Glutamine	56-85-9	0RH81L854J	(2S)-2-amino-4-carbamoylbutanoic acid | (2S)-2,5-diamino-5-oxopentanoic acid | (S)-2,5-diamino-5-oxopentanoic acid | Glutamic acid 5-amide | Glutamic acid amide | Glutamina | Glutamine | L-(+)-glutamine | L-2-aminoglutaramic acid | L-glutamic acid γ-amide | L-Glutamin | L-Glutaminsäure-5-amid | Levoglutamide | Q	ZDXPYRJPNDTMRX-VKHMYHEASA-N	C(CC(=O)N)C(C(=O)O)N
DB00131	EXPT00512 | NUTR00011	Adenosine phosphate	61-19-8	415SHH325A	5'-Adenosine monophosphate | 5'-Adenylic acid | 5'-AMP | 5'-O-Phosphonoadenosine | Adenosine 5'-(dihydrogen phosphate) | Adenosine 5'-monophosphate | Adenosine 5'-phosphate | Adenosine monophosphate | Adenosine phosphate | Adenosine-5'-Monophosphate | Adenosine-5'-monophosphoric acid | Adenosine-5'P | Adenosini phosphas | Adenylate | Adenylic acid | Ado5'P | AMP | Fosfato de adenosina | PAdo | Phosphate d'adénosine	UDMBCSSLTHHNCD-KQYNXXCUSA-N	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
DB00132	NUTR00034	alpha-Linolenic acid	463-40-1	0RBV727H71	(9,12,15)-linolenic acid | (9Z,12Z,15Z)-Octadecatrienoic acid | (Z,Z,Z)-9,12,15-octadecatrienoic acid | 9-cis,12-cis,15-cis-octadecatrienoic acid | 9,12,15-Octadecatrienoic acid | ALA | all-cis-9,12,15-Octadecatrienoic acid | alpha-Linolenic acid | cis-delta(9,12,15)-Octadecatrienoic acid | cis,cis,cis-9,12,15-Octadecatrienoic acid | Linolenic acid | α-linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N	CCC=CCC=CCC=CCCCCCCCC(=O)O
DB00133	DB03375 | NUTR00053	Serine	56-45-1	452VLY9402	(S)-2-Amino-3-hydroxypropanoic acid | (S)-Serine | alpha-Amino-beta-hydroxypropionic acid | beta-Hydroxyalanine | L-Serine | Ser | Serina | Serine | Serinum	MTCFGRXMJLQNBG-REOHCLBHSA-N	C(C(C(=O)O)N)O
DB00134	NUTR00038	Methionine	63-68-3	AE28F7PNPL	(2S)-2-amino-4-(methylsulfanyl)butanoic acid | (S)-2-amino-4-(methylthio)butanoic acid | (S)-2-amino-4-(methylthio)butyric acid | (S)-methionine | L-(−)-methionine | L-a-Amino-g-methylthiobutyric acid | L-Methionin | L-Methionine | L-α-amino-γ-methylmercaptobutyric acid | M | Met | Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N	CSCCC(C(=O)O)N
DB00135	NUTR00059	Tyrosine	60-18-4	42HK56048U	(−)-α-amino-p-hydroxyhydrocinnamic acid | (2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid | (S)-(-)-Tyrosine | (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid | (S)-3-(p-Hydroxyphenyl)alanine | (S)-alpha-amino-4-Hydroxybenzenepropanoic acid | (S)-Tyrosine | (S)-α-amino-4-hydroxybenzenepropanoic acid | 4-hydroxy-L-phenylalanine | L-Tyrosin | L-tyrosine | Tirosina | Tyr | Tyrosine | Tyrosinum | Y	OUYCCCASQSFEME-QMMMGPOBSA-N	C1=CC(=CC=C1CC(C(=O)O)N)O
DB00136	APRD00246 | DB05314 | NUTR00003	Calcitriol	32222-06-3	FXC9231JVH	(1S,3R,5Z,7E)-9,10-secocholesta-5,7,10-triene-1,3,25-triol | (1α,3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol | (5Z,7E)-(1S,3R)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol | 1-alpha-25-Dihydroxyvitamin D3 | 1,25-DHCC | 1,25-dihydroxycholecalciferol | 1α,25-dihydroxycholecalciferol | 1α,25-dihydroxyvitamin D3 | 1α,25(OH)2D3 | Calcitriol | Calcitriolum	GMRQFYUYWCNGIN-NKMMMXOESA-N	CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
DB00137	DB11138 | NUTR00036	Lutein	127-40-2	X72A60C9MT	Xanthophyll | Xantofyl	KBPHJBAIARWVSC-RGZFRNHPSA-N	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C
DB00138	NUTR00023	Cystine	56-89-3	48TCX9A1VT	(R,R)-3,3'-dithiobis(2-aminopropanoic acid) | Cistina | L-alpha-Diamino-beta-dithiolactic acid | L-Cystine | L-Dicysteine | β,β'-dithiodialanine	LEVWYRKDKASIDU-IMJSIDKUSA-N	C(C(C(=O)O)N)SSCC(C(=O)O)N
DB00139	NUTR00054	Succinic acid	110-15-6	AB6MNQ6J6L	1,2-ethanedicarboxylic acid | Acide butanedioïque | Acide succinique | Acidum succinicum | Amber acid | Asuccin | Bernsteinsäure | Butandisäure | Butanedioic acid | Butanedionic acid | Dihydrofumaric acid | Ethylenesuccinic acid | Spirit of amber | Succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N	C(CC(=O)O)C(=O)O
DB00140	APRD00626 | DB09358 | EXPT02760 | NUTR00010	Riboflavin	83-88-5	TLM2976OFR	1-Deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)pentitol | 6,7-Dimethyl-9-D-ribitylisoalloxazine | 7,8-Dimethyl-10-(D-ribo-2,3,4,5-tetrahydroxypentyl)isoalloxazine | 7,8-Dimethyl-10-ribitylisoalloxazine | Lactoflavin | Lactoflavine | Riboflavin | Riboflavina | Riboflavine | Riboflavinum | Vitamin B2 | Vitamin Bi | Vitamin G	AUNGANRZJHBGPY-SCRDCRAPSA-N	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
DB00141	NUTR00040	N-Acetylglucosamine	7512-17-6	V956696549	2-Acetamido-2-deoxy-D-glucose | aldehydo-N-acetyl-D-glucosamine | D-GlcNAc | N-Acetyl-D-glucosamine | N-Acetylchitosamine	MBLBDJOUHNCFQT-LXGUWJNJSA-N	CC(=O)NC(C=O)C(C(C(CO)O)O)O
DB00142	NUTR00027	Glutamic acid	56-86-0	3KX376GY7L	(2S)-2-Aminopentanedioic acid | (S)-2-Aminopentanedioic acid | (S)-Glutamic acid | ácido glutámico | Glu | Glutamic acid | L-Glutamate | L-Glutamic acid | L-Glutaminic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N	C(CC(=O)O)C(C(=O)O)N
DB00143	EXPT01650 | NUTR00029	Glutathione	70-18-8	GAN16C9B8O	5-L-Glutamyl-L-cysteinylglycine | gamma-L-Glutamyl-L-cysteinyl-glycine | Glutathione | Glutathione-SH | GSH | N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine | Reduced glutathione	RWSXRVCMGQZWBV-WDSKDSINSA-N	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
DB00144	NUTR00048	Phosphatidyl serine	1446756-47-3	394XK0IH40	Phosphatidyl-L-serine | Phosphatidylserine | PS | Ptd-L-Ser	UNJJBGNPUUVVFQ-ZJUUUORDSA-N	CCCC(=O)OC(COC(=O)CC)COP(=O)(O)OCC(C(=O)O)N
DB00145	NUTR00028	Glycine	56-40-6	TE7660XO1C	Aminoacetic acid | Aminoessigsäure | Aminoethanoic acid | Glicina | Gly | Glycin | Glycine | Glycocoll | Glykokoll | Glyzin | Leimzucker	DHMQDGOQFOQNFH-UHFFFAOYSA-N	C(C(=O)O)N
DB00146	APRD00428 | NUTR00006	Calcifediol	19356-17-3	T0WXW8F54E	(3S,5Z,7E)-9,10-secocholesta-5,7,10-triene-3,25-diol | (3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-triene-3,25-diol | (5Z,7E)-(3S)-9,10-secocholesta-5,7,10(19)-triene-3,25-diol | 25-hydroxycholecalciferol | 25-Hydroxyvitamin D3 | Calcidiol | Calcifédiol | Calcifediol | Calcifediol anhydrous | Calcifediolum	JWUBBDSIWDLEOM-DTOXIADCSA-N	CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
DB00147	NUTR00049	Pyridoxal	66-72-8	3THM379K8A	2-methyl-3-hydroxy-4-formyl-5-hydroxymethylpyridine | 3-hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxaldehyde | 3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde | 3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxaldehyde | Piridoxal | Pyridoxaldehyde	RADKZDMFGJYCBB-UHFFFAOYSA-N	CC1=NC=C(C(=C1O)C=O)CO
DB00148	NUTR00022	Creatine	57-00-1	MU72812GK0	((amino(Imino)methyl)(methyl)amino)acetic acid | (alpha-Methylguanido)acetic acid | (N-methylcarbamimidamido)acetic acid | (α-methylguanido)acetic acid | alpha-Methylguanidino acetic acid | Creatin | Creatine | Kreatin | Methylglycocyamine | N-(aminoiminomethyl)-N-methylglycine | N-amidinosarcosine | N-carbamimidoyl-N-methylglycine | N-methyl-N-guanylglycine	CVSVTCORWBXHQV-UHFFFAOYSA-N	CN(CC(=O)O)C(=N)N
DB00149	NUTR00033	Leucine	61-90-5	GMW67QNF9C	(2S)-2-Amino-4-methylpentanoic acid | (2S)-alpha-2-Amino-4-methylvaleric acid | (2S)-alpha-Leucine | (S)-(+)-Leucine | (S)-Leucine | 2-Amino-4-methylvaleric acid | L | L-Leucin | L-Leucine | L-Leuzin | Leu | Leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N	CC(C)CC(C(=O)O)N
DB00150	EXPT02064 | NUTR00058	Tryptophan	73-22-3	8DUH1N11BX	(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid | (S)-alpha-Amino-beta-(3-indolyl)-propionic acid | (S)-Tryptophan | (S)-α-amino-1H-indole-3-propanoic acid | L-(-)-Tryptophan | L-(−)-tryptophan | L-Tryptophan | L-β-3-indolylalanine | Triptofano | Trp | Tryptophan | Tryptophane | Tryptophanum | W	QIVBCDIJIAJPQS-VIFPVBQESA-N	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
DB00151	DB04443 | DB09485 | NUTR00018	Cysteine	52-90-4	K848JZ4886	(2R)-2-amino-3-mercaptopropanoic acid | (2R)-2-amino-3-sulfanylpropanoic acid | (R)-2-Amino-3-mercaptopropanoic acid | Cisteina | Cisteinum | Cys | Cysteine | Cysteinum | Free Cysteine | L-2-Amino-3-mercaptopropionic acid | L-Cys | L-Cystein | L-Zystein	XUJNEKJLAYXESH-REOHCLBHSA-N	C(C(C(=O)O)N)S
DB00152	APRD00552 | EXPT03222 | NUTR00009	Thiamine	70-16-6	4ABT0J945J	Aneurin | Antiberiberi factor | Thiamin | Thiamine | thiamine(1+) | thiamine(1+) ion | thiaminium | Thiaminum | Tiamina | Vitamin B1	JZRWCGZRTZMZEH-UHFFFAOYSA-N	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
DB00153	APRD00426 | NUTR00005	Ergocalciferol	50-14-6	VS041H42XC	(3β,5Z,7E,22E)-9,10-secoergosta-5,7,10(19),22-tetraen-3-ol | (5Z,7E,22E)-(3S)-9,10-seco-5,7,10(19),22-ergostatetraen-3-ol | (5Z,7E,22E)-(3S)-9,10-secoergosta-5,7,10(19),22-tetraen-3-ol | Activated ergosterol | Ercalciol | Ergocalciférol | Ergocalciferol | Ergocalciferolum | Oleovitamin D2 | Viosterol | Vitamin D2 | Vitamina D2	MECHNRXZTMCUDQ-RKHKHRCZSA-N	CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
DB00154	NUTR00032	Dihomo-gamma-linolenic acid	1783-84-2	FC398RK06S	(8Z,11Z,14Z)-Icosatrienoic acid | (Z,Z,Z)-8,11,14-Eicosatrienoic acid | (Z,Z,Z)-8,11,14-Icosatrienoate | (Z,Z,Z)-8,11,14-Icosatrienoic acid | 20:3, n-6,9,12 all-cis | 8,11,14-Eicosatrienoic Acid | 8c,11c,14c-eicosatrienoic acid | 8c,11c,14c-Eicosatriensäure | all-cis-8,11,14-eicosatrienoic acid | all-cis-8,11,14-icosatrienoic acid | all-cis-eicosa-8,11,14-trienoic acid | all-cis-Eicosa-8,11,14-triensäure | all-cis-icosa-8,11,14-trienoic acid | C20:3, n-6,9,12 all-cis | cis,cis,cis-8,11,14-eicosatrienoic acid | DGLA | dihomo-γ-linolenic acid | eicosa-8Z,11Z,14Z-trienoic acid | gamma-Homolinolenic acid | Homo-gamma-linolenic acid | Homo-gamma-linolensäure | Homo-γ-linolensäure	HOBAELRKJCKHQD-QNEBEIHSSA-N	CCCCCC=CCC=CCC=CCCCCCCC(=O)O
DB00155	NUTR00021	Citrulline	372-75-8	29VT07BGDA	(S)-2-Amino-5-ureidopentanoic acid | 2-Amino-5-ureidovaleric acid | alpha-amino-delta-Ureidovaleric acid | Cit | Citrulina | Citrulline | delta-Ureidonorvaline | L-2-Amino-5-ureidovaleric acid | L-Citrulline | N(5)-(Aminocarbonyl)-L-ornithine | N(delta)-Carbamylornithine | N5-(Aminocarbonyl)ornithine | N5-Carbamoyl-L-ornithine | N5-carbamoylornithine | α-amino-δ-ureidovaleric acid | δ-ureidonorvaline	RHGKLRLOHDJJDR-BYPYZUCNSA-N	C(CC(C(=O)O)N)CNC(=O)N
DB00156	NUTR00057	Threonine	72-19-5	2ZD004190S	(2S,3R)-(-)-Threonine | (2S)-threonine | 2-Amino-3-hydroxybutyric acid | L-(-)-Threonine | L-2-Amino-3-hydroxybutyric acid | L-alpha-amino-beta-hydroxybutyric acid | L-Threonin | L-Threonine | L-α-amino-β-hydroxybutyric acid | Thr | Threonine | Threoninum | Treonina	AYFVYJQAPQTCCC-GBXIJSLDSA-N	CC(C(C(=O)O)N)O
