	Common name	InChI Key	Accession Number
123	chromomycin-a3	LNGHEQSPMNWBCU-RUGPHKIXSA-N	BRD-A11702965
125	AM-92016	BQBSHJUQVIWEFM-UHFFFAOYSA-N	BRD-A11813248
126	BRD-A11929187	HXELDYRZCKHWSK-UHFFFAOYSA-N	BRD-A11929187
127	BRD-A11968133	MORBXZMIXGYQDB-UHFFFAOYSA-N	BRD-A11968133
129	LY-278584	DDHAJFBBJWHSBR-UHFFFAOYSA-N	BRD-A12016240
130	BRD-A12083771	TXMPMEQLXDHGQS-UHFFFAOYSA-N	BRD-A12083771
131	nutlin-3	BDUHCSBCVGXTJM-UHFFFAOYSA-N	BRD-A12230535
133	nitrendipine	NDYAXPIAEFCPMJ-UHFFFAOYSA-N	BRD-A12560204
134	BRD-A12633378	SIQGKPGBLYKQBB-UHFFFAOYSA-N	BRD-A12633378
139	STK-064652	AGQNVTZMIXEHKC-UHFFFAOYSA-N	BRD-A13195221
140	BRD-A13346522	JAFIERFWYHDPAD-UHFFFAOYSA-N	BRD-A13346522
141	BRD-A13367427	YZWLELIIIVVKPT-UHFFFAOYSA-N	BRD-A13367427
142	BRD-A13461302	FXOBIDROVMXPBW-UHFFFAOYSA-N	BRD-A13461302
144	HA-14-1	SXJDCULZDFWMJC-UHFFFAOYSA-N	BRD-A13807286
145	BRD-A13914662	DDRGAGSWKRPPPE-UHFFFAOYSA-N	BRD-A13914662
147	BRD-A13964793	FYGREZKTJIXWIH-UHFFFAOYSA-N	BRD-A13964793
148	BRD-A14178283	OSGFJRKJEPQTRB-KSIZGXOFSA-N	BRD-A14178283
151	UB-165	TVSNVPGPFGAKPT-UHFFFAOYSA-N	BRD-A14574269
155	ascorbyl-palmitate	CYJPUZLKFAUFHF-CNBHCMJISA-N	BRD-A14985772
157	bergenin	YWJXCIXBAKGUKZ-UHFFFAOYSA-N	BRD-A15034104
158	bucladesine	ZKSUYDZTGVUZGX-VBJMPTANSA-N	BRD-A15070535
159	phorbol-12-myristate-13-acetate	PHEDXBVPIONUQT-UHFFFAOYSA-N	BRD-A15079084
162	GW-1929	QTQMRBZOBKYXCG-UHFFFAOYSA-N	BRD-A15415227
163	BMY-14802	ZXUYYZPJUGQHLQ-UHFFFAOYSA-N	BRD-A15435692
164	carpindolol	SJYFDORQYYEJLB-UHFFFAOYSA-N	BRD-A15530910
165	4-hydroxy-2-nonenal	JVJFIQYAHPMBBX-FNORWQNLSA-N	BRD-A15914070
168	acarbose	XUFXOAAUWZOOIT-UGEKTDRHSA-N	BRD-A16444946
170	BRD-A16581344	NXOPRQUIKXFMJJ-UHFFFAOYSA-N	BRD-A16581344
175	BRD-A16820783	FCIZPPJLBOLIRV-UHFFFAOYSA-N	BRD-A16820783
177	etodolac	YKHKOAOQAYXTKT-UHFFFAOYSA-N	BRD-A16998493
178	rhizocarpic-acid	DGBXJRCEHHYSJC-OANJBFNESA-N	BRD-A17016119
181	BW-723C86	ALFGDCNSEBJYSP-UHFFFAOYSA-N	BRD-A17428743
182	beclometasone	NBMKJKDGKREAPL-WOOYFSPWSA-N	BRD-A17448384
183	MDL-72832	HCVRCHQFYYZPHT-UHFFFAOYSA-N	BRD-A17453586
184	gelsemine	NFYYATWFXNPTRM-KMXOBDGGSA-N	BRD-A17535965
186	BRD-A17664363	CFQXBSFRUQKYQA-UHFFFAOYSA-N	BRD-A17664363
187	BRD-A17718497	GLPPUGLLAYNGBF-UHFFFAOYSA-N	BRD-A17718497
188	BRD-A17757596	GVURQRCLHKGRCG-UHFFFAOYSA-N	BRD-A17757596
189	gedunin	VOKBOMKQXKLQSI-UMZYLEKASA-N	BRD-A17819071
192	CPCCOEt	FXCTZFMSAHZQTR-UHFFFAOYSA-N	BRD-A18202423
193	BRD-A18279961	ZWKJWVSEDISQIS-UHFFFAOYSA-N	BRD-A18279961
194	BRD-A18411371	WZPVBLAQLFFXTN-UHFFFAOYSA-N	BRD-A18411371
195	etoposide	SYKHAYBRYKMZLP-LTGYLHEKSA-N	BRD-A18419789
199	BRD-A18725729	RMLMLLHAWZPLLR-UHFFFAOYSA-N	BRD-A18725729
200	BAX-channel-blocker	KUUJEXLRLIPQQJ-UHFFFAOYSA-N	BRD-A18763547
202	haematoxylin-pentaacetate	JXUGSXOSZMZDGF-UHFFFAOYSA-N	BRD-A18932057
203	trichostatin-a	RTKIYFITIVXBLE-WKWSCTOISA-N	BRD-A19037878
204	pseudopelletierine	RHWSKVCZXBAWLZ-UHFFFAOYSA-N	BRD-A19053259
206	latrunculin-b	NSHPHXHGRHSMIK-IWZLBRJHSA-N	BRD-A19248578
208	geldanamycin	QTQAWLPCGQOSGP-VDYWNIEOSA-N	BRD-A19500257
212	lomatin	UJSHBYQGQRPVNO-UHFFFAOYSA-N	BRD-A19918940
213	BRD-A19928752	BQPRBYLILBRUER-UHFFFAOYSA-N	BRD-A19928752
215	2',5'-dideoxyadenosine	FFHPXOJTVQDVMO-UHFFFAOYSA-N	BRD-A20131130
217	BRD-A20488704	KOOFWUOQNYFDJY-KWFCYANNSA-N	BRD-A20488704
220	thiostrepton	NSFFHOGKXHRQEW-BXVAPQLOSA-N	BRD-A20697603
221	WAY-213613	BNYDDAAZMBUFRG-UHFFFAOYSA-N	BRD-A20968261
222	BRD-A21406558	FPHKPEIWQPURTC-UHFFFAOYSA-N	BRD-A21406558
224	naltriben	ZHVWWEYETMPAMX-UHFFFAOYSA-N	BRD-A21723284
225	BRD-A21812217	KUTPFZWXNQRAHY-UHFFFAOYSA-N	BRD-A21812217
230	BRD-A22272113	KWMYIEZXXJZBPU-WGDLNXRISA-N	BRD-A22272113
232	BRD-A22514244	LWEYITSKHCPNSX-UHFFFAOYSA-N	BRD-A22514244
234	SB-205384	JDTZAGLGBRRCJT-UHFFFAOYSA-N	BRD-A22707317
235	BVT-948	AJVXVYTVAAWZAP-UHFFFAOYSA-N	BRD-A22713669
236	homochlorcyclizine	WEUCDJCFJHYFRL-UHFFFAOYSA-N	BRD-A22769835
237	vinblastine	SLIRURSWQCRWFG-UHFFFAOYSA-N	BRD-A22783572
238	tenoxicam	OTGJPAOGHQFBMI-UHFFFAOYSA-N	BRD-A22844106
240	estradiol	QAHOQNJVHDHYRN-UHFFFAOYSA-N	BRD-A23226398
243	oxymetholone	DLZUBMGMHUNDLF-CVSXEEBHSA-N	BRD-A23637604
244	NAS-181	RTKDBEOSPDFLGD-UHFFFAOYSA-N	BRD-A23683907
246	sirolimus	QFJCIRLUMZQUOT-GWUMUYGYSA-N	BRD-A23770159
247	BRD-A24021119	VNAWUBPFFPSYKR-UHFFFAOYSA-N	BRD-A24021119
248	BRD-A24054354	XAFSFXYJOJWLJD-UHFFFAOYSA-N	BRD-A24054354
249	saclofen	JYLNVJYYQQXNEK-UHFFFAOYSA-N	BRD-A24122750
251	BRD-A24225650	GCKODGMYILQELF-UHFFFAOYSA-N	BRD-A24225650
254	celastrol	AQKDBFWJOPNOKZ-TWPXQOCQSA-N	BRD-A24396574
255	HEAT	PZZOEXPDTYIBPI-UHFFFAOYSA-N	BRD-A24429032
257	nornicotine	MYKUKUCHPMASKF-UHFFFAOYSA-N	BRD-A24543851
258	homoharringtonine	DJIVDDPFKDEQIR-XSEHADPMSA-N	BRD-A24643465
259	laudanosine	KGPAYJZAMGEDIQ-UHFFFAOYSA-N	BRD-A24817035
260	nimodipine	BAARDDGSQHXDDB-UHFFFAOYSA-N	BRD-A24891640
261	erastin	BKQFRNYHFIQEKN-UHFFFAOYSA-N	BRD-A25004090
263	CVF-SUMO-7	QKRDBROGGFNXRP-UHFFFAOYSA-N	BRD-A25088322
265	BRD-A25170757	QDZZRQSBQUVQJI-UHFFFAOYSA-N	BRD-A25170757
267	AT-SUMO-1	GBENPFHLRCFAOS-UHFFFAOYSA-N	BRD-A25337146
268	BRD-A25416824	HPNPWGLKVZAMPM-UHFFFAOYSA-N	BRD-A25416824
269	KI-16425	LLIFMNUXGDHTRO-UHFFFAOYSA-N	BRD-A25569250
272	securinine	SWZMSZQQJRKFBP-KKPNGEORSA-N	BRD-A25775766
273	BRD-A25829966	XSKZSTBHFOFNSO-UHFFFAOYSA-N	BRD-A25829966
274	ST-4034902	UFURXKHEKMHLRH-UHFFFAOYSA-N	BRD-A25852922
275	verrucarin-a	NLUGUZJQJYVUHS-GUBXDBFYSA-N	BRD-A26002865
276	zaldaride	HTGCJAAPDHZCHL-UHFFFAOYSA-N	BRD-A26032986
278	bulleyaconitine-a	GAZDXIGXYWVWQX-VEWJSYFXSA-N	BRD-A26097136
279	calmidazolium	CTKNMSVWMRRCPW-UHFFFAOYSA-N	BRD-A26199074
282	BRD-A26595446	FPMBWSWPBUTVSU-UHFFFAOYSA-N	BRD-A26595446
284	VU-0447127-2	KPTCFZBEMVTSKM-UHFFFAOYSA-N	BRD-A26777759
285	cyclopiazonic-acid	TZCOBUQKVNFIQF-UHFFFAOYSA-N	BRD-A26787626
286	isamoltan	XVTVPGKWYHWYAD-UHFFFAOYSA-N	BRD-A26845397
287	BRD-A26962727	ZZZCFNBBQNVYLT-YBFXNURJSA-N	BRD-A26962727
288	DPN	GHZHWDWADLAOIQ-UHFFFAOYSA-N	BRD-A27143604
290	BRD-A27640568	RCLKJIVDBWUALW-UHFFFAOYSA-N	BRD-A27640568
292	cucurbitacin-i	NZZOMHODWAPPJH-YOLQPZLMSA-N	BRD-A28105619
293	aminomethyltransferase	BATVOUKHGLKDGQ-UHFFFAOYSA-N	BRD-A28318179
294	BRD-A28412351	KMAIPMLMWLIYEX-BBYUFZDTSA-N	BRD-A28412351
295	BRD-A28422330	QBNZBMVRFYREHK-UHFFFAOYSA-N	BRD-A28422330
299	gitoxigenin	PVAMXWLZJKTXFW-YOUFMJPESA-N	BRD-A29082194
301	PCA-4248	DHCNAWNKZMNTIS-UHFFFAOYSA-N	BRD-A29289453
304	RWJ-21757	VDCRFBBZFHHYGT-UHFFFAOYSA-N	BRD-A29437505
307	BRD-A29721261	QZBXORJMNFUQQM-UHFFFAOYSA-N	BRD-A29721261
310	KIN001-127	RRHONYZEMUNMJX-UHFFFAOYSA-N	BRD-A29901043
311	BRD-A30083233	YTOUOWGIWWJGTJ-SITNXXOISA-N	BRD-A30083233
313	BRD-A30395175	CHZBCZTXSTWCIG-UHFFFAOYSA-N	BRD-A30395175
316	BRD-A30455275	LDDHFKHHSOMSPZ-UHFFFAOYSA-N	BRD-A30455275
317	BRD-A30612536	BFTSWGYWHRJVNI-UHFFFAOYSA-N	BRD-A30612536
318	LFM-A13	BQLDGDMKDYAGNE-UHFFFAOYSA-N	BRD-A30655177
319	triamcinolone	XGMPVBXKDAHORN-KUZKEXDLSA-N	BRD-A30717181
321	BRD-A30856524	QKVNMVAISCKGFO-NYWNYWLFSA-N	BRD-A30856524
322	nifedipine	OSUCQKNXQBPLDG-UHFFFAOYSA-N	BRD-A30977374
323	SDZ-WAG-994	JAKAFSGZUXCHLF-UHFFFAOYSA-N	BRD-A31007383
326	TCB2	MPBCKKVERDTCEL-UHFFFAOYSA-N	BRD-A31195449
328	kynuramine	KVMYSBIFGBLUGK-UHFFFAOYSA-N	BRD-A31227688
329	montelukast	UCHDWCPVSPXUMX-XNTDXEJSSA-N	BRD-A31312900
332	CGP-20712	GKJZEKSHCJELPL-UHFFFAOYSA-N	BRD-A31575449
334	formestane	ZMEULISFKSVRLQ-UHFFFAOYSA-N	BRD-A31801025
335	BRD-A31946439	KRIXABFYBRTIIS-UHFFFAOYSA-N	BRD-A31946439
336	carbetocin	GOANGOSGGZAITB-SVCSGJSHSA-N	BRD-A32161980
337	methyllycaconitine	XLTANAWLDBYGFU-UHFFFAOYSA-N	BRD-A32164164
338	BRD-A32214171	HLJDMPCGMWBFHQ-UHFFFAOYSA-N	BRD-A32214171
339	BRD-A32241587	FQEWVXXAJZVQAC-UHFFFAOYSA-N	BRD-A32241587
340	methyl-angolensate	YNMYHRYTRCKSMI-RPKVDDIGSA-N	BRD-A32349859
342	BRD-A32449311	AJOLDLJFDRWYOI-UHFFFAOYSA-N	BRD-A32449311
343	BJM-CSC-15	CISVJPXUQJEUAP-KEBDBYFISA-N	BRD-A32595718
344	leu-enkephalin	URLZCHNOLZSCCA-UHFFFAOYSA-N	BRD-A32836748
345	MRS-1845	VNIMHBLANIQWNY-UHFFFAOYSA-N	BRD-A32949107
347	ST-208960	YPJLUCAXHFPZJD-UHFFFAOYSA-N	BRD-A33325795
350	TER-14687	IOXRKHWIYNWYFF-UHFFFAOYSA-N	BRD-A33833419
352	VU-0404997-2	VVBFAZRDUJRAAU-UHFFFAOYSA-N	BRD-A34208323
355	BRD-A34421300	OVQDGLOLGMOEJH-UHFFFAOYSA-N	BRD-A34421300
356	CGP-12177	ANAWRRAUQXSHKD-UHFFFAOYSA-N	BRD-A34706053
357	homosalate	WSSJONWNBBTCMG-UHFFFAOYSA-N	BRD-A34751532
361	KU-C103676	BKCAQRNMUSHHJI-UHFFFAOYSA-N	BRD-A35020550
362	eriodictyol	SBHXYTNGIZCORC-UHFFFAOYSA-N	BRD-A35033682
364	BRD-A35141262	UGPPJDBSDVDSDI-UHFFFAOYSA-N	BRD-A35141262
366	benidipine	VATGWEZOSFWWCV-SKWHODKYSA-N	BRD-A35519318
368	CGP-37157	KQEPIRKXSUIUTH-UHFFFAOYSA-N	BRD-A35623999
369	ibrutinib	XYFPWWZEPKGCCK-UHFFFAOYSA-N	BRD-A35869383
370	pregnenolone	OZZAYJQNMKMUSD-NNEZGNMOSA-N	BRD-A35912562
373	BRD-A36059655	TZLQDAXJSITRIB-UHFFFAOYSA-N	BRD-A36059655
376	genistein	ZCOLJUOHXJRHDI-UHFFFAOYSA-N	BRD-A36151937
377	BRD-A36165599	JCKCOVOIHXSXFR-UHFFFAOYSA-N	BRD-A36165599
380	BRD-A36275421	UNVKYJSNMVDZJE-UHFFFAOYSA-N	BRD-A36275421
381	necrostatin-1	TXUWMXQFNYDOEZ-UHFFFAOYSA-N	BRD-A36318220
384	hydroxycholesterol	IOWMKBFJCNLRTC-JNZINCJWSA-N	BRD-A36707673
385	BRD-A36884011	ICNWLOCYNRZUJT-UHFFFAOYSA-N	BRD-A36884011
386	BRL-52537	GHCCBWMZKJQGLS-UHFFFAOYSA-N	BRD-A37347161
389	BRD-A37656721	MHYQHWLKERVOMZ-UHFFFAOYSA-N	BRD-A37656721
391	BRD-A37735495	IGCXFVOTAXQEEE-UHFFFAOYSA-N	BRD-A37735495
392	ICI-204448	JKYJSFISYHSNOE-UHFFFAOYSA-N	BRD-A37776212
395	cyclazosin	XBRXTUGRUXGBPX-UHFFFAOYSA-N	BRD-A37837077
397	cyclosporin-a	PMATZTZNYRCHOR-NFOUMSERSA-N	BRD-A38030642
398	ST-019366	PLYNMYXRDBMNTN-UHFFFAOYSA-N	BRD-A38275906
399	BRD-A38425832	NGUXXNRCXPZRNX-UHFFFAOYSA-N	BRD-A38425832
400	fludrocortisone	SYWHXTATXSMDSB-JORUCDAYSA-N	BRD-A38749782
401	BRD-A38793261	YEKVAIMYYCZDLI-RJYAGPCLSA-N	BRD-A38793261
403	GW-311616	NDNKNUMSTIMSHQ-PTJVQUAFSA-N	BRD-A38898897
404	BH3I-1	COHIEJLWRGREHV-XFFZJAGNSA-N	BRD-A38913120
405	BRD-A38936397	YFPGZZRWTYUBTB-UHFFFAOYSA-N	BRD-A38936397
407	K784-3187	ASSYJPCLSRNQGT-UHFFFAOYSA-N	BRD-A39093044
408	BRD-A39121618	ALLQFJGMILKBRY-UHFFFAOYSA-N	BRD-A39121618
409	ampiroxicam	LSNWBKACGXCGAJ-UHFFFAOYSA-N	BRD-A39172021
411	DCPIB	KHKGTPJPBOQECW-UHFFFAOYSA-N	BRD-A39255369
416	OMDM-2	ICDMLAQPOAVWNH-UHFFFAOYSA-N	BRD-A39522003
417	BRD-A39599596	XJHRZIVGSPMPFJ-UHFFFAOYSA-N	BRD-A39599596
418	HC-toxin	GNYCTMYOHGBSBI-UHFFFAOYSA-N	BRD-A39646320
421	radicicol	WYZWZEOGROVVHK-ZUVMSYQZSA-N	BRD-A39996500
422	BRD-A40431293	ZXHLDNILIVGKPC-XVHXIHMNSA-N	BRD-A40431293
424	oleanolic-acid	RIXNFYQZWDGQAE-JMGFFJFSSA-N	BRD-A41112154
425	BRD-A41114263	PVHYZOUHABSMRT-QGXVWARISA-N	BRD-A41114263
426	methoprene-acid	MNYBEULOKRVZKY-TZOAMJEDSA-N	BRD-A41145729
427	GP-42	NOGYLJPOBZIXGR-MDZDMXLPSA-N	BRD-A41250203
429	bongkrek-acid	SHCXABJSXUACKU-IPUKGTGASA-N	BRD-A41301928
431	tosufloxacin	WUWFMDMBOJLQIV-UHFFFAOYSA-N	BRD-A41450521
432	PK-11195	RAVIZVQZGXBOQO-UHFFFAOYSA-N	BRD-A41451487
434	chlortetracycline	RNPLSXLZRGPQCU-NRIWTTEBSA-N	BRD-A41555725
436	TGX-221	CPRAGQJXBLMUEL-UHFFFAOYSA-N	BRD-A41692738
437	sulmazole	JQUKCPUPFALELS-UHFFFAOYSA-N	BRD-A41722204
438	naloxone	AKXCFAYOTIEFOH-UHFFFAOYSA-N	BRD-A41833852
439	vitexin	SGEWCQFRYRRZDC-YWFAZRBLSA-N	BRD-A41941932
440	brucine	RRKTZKIUPZVBMF-PLNGPGDESA-N	BRD-A41995253
441	BRD-A41997916	NGUSMSQYMDPBGF-UHFFFAOYSA-N	BRD-A41997916
442	VU-0415555-1	MRJDBDRLINRLIW-UHFFFAOYSA-N	BRD-A42031983
444	metanephrine	JWJCTZKFYGDABJ-UHFFFAOYSA-N	BRD-A42346008
446	L-152804	XQDXIHYKAGHZRX-UHFFFAOYSA-N	BRD-A42553870
450	BRD-A42737819	XQQREQRWWSPKLO-UHFFFAOYSA-N	BRD-A42737819
452	tetrahydrocannabinol-7-oic-acid	YOVRGSHRZRJTLZ-OEMAIJDKSA-N	BRD-A42831637
453	BRD-A42969626	KTYYVXHOAFGXSL-UHFFFAOYSA-N	BRD-A42969626
455	BRD-A43087975	CTAIAXZIQQOWFD-UHFFFAOYSA-N	BRD-A43087975
456	BRD-A43126523	MWBPUFDYIDUJIE-UHFFFAOYSA-N	BRD-A43126523
457	penicillic-acid	YCOFRPYSZKIPBQ-UHFFFAOYSA-N	BRD-A43150328
458	BRD-A43155244	MSUVDRBASYAIJC-MDZDMXLPSA-N	BRD-A43155244
459	BRD-A43188678	LCVIGZGNMQADJV-XQRVVYSFSA-N	BRD-A43188678
460	niguldipine	SLTFTBXXKKDMPA-UHFFFAOYSA-N	BRD-A43331270
461	BRD-A43640821	DABWMCYEHVDPBR-UHFFFAOYSA-N	BRD-A43640821
463	BRD-A43805296	UZKQKLOUKVAGDI-UHFFFAOYSA-N	BRD-A43805296
464	karakoline	HKQZUYOVMYOFIT-VEUUHKJVSA-N	BRD-A43849199
466	L-368899	MWIASLNTAGRGGA-WVJGRJQASA-N	BRD-A43930669
471	azasetron	WUKZPHOXUVCQOR-UHFFFAOYSA-N	BRD-A44133049
473	LFM-A12	XXNKCLVHOZOIOC-UHFFFAOYSA-N	BRD-A44551378
476	erythromycin	NSYZCCDSJNWWJL-UHFFFAOYSA-N	BRD-A44827100
477	BRD-A44862234	ZLKBWOYLJUESSU-UHFFFAOYSA-N	BRD-A44862234
478	meclocycline	YKYBWGJKLYMCFI-LOXSQDDVSA-N	BRD-A45140972
479	BRD-A45206415	ZEKHPEYYOIKDQJ-UHFFFAOYSA-N	BRD-A45206415
480	periplocymarin	XRWQBDJPMXRDOQ-IDULJFIXSA-N	BRD-A45333398
481	WYE-125132	QLHHRYZMBGPBJG-UHFFFAOYSA-N	BRD-A45498368
482	UBP-302	UUIYULWYHDSXHL-UHFFFAOYSA-N	BRD-A45499626
483	metrizamide	BAQCROVBDNBEEB-UBYUBLNFSA-N	BRD-A45543382
484	iloprost	HIFJCPQKFCZDDL-ACWOEMLNSA-N	BRD-A45664787
491	huperzine-a	ZRJBHWIHUMBLCN-QDEBKDIKSA-N	BRD-A47065382
492	dihydro-7-desacetyldeoxygedunin	BQDRKSSNLHIYIM-DFIIIIPRSA-N	BRD-A47144777
493	naltrindole	WIYUZYBFCWCCQJ-OOGIKFLQSA-N	BRD-A47342814
495	calyculin	FKAWLXNLHHIHLA-OQLQHIBWSA-N	BRD-A47513740
497	NPC-15199	CBPJQFCAFFNICX-UHFFFAOYSA-N	BRD-A47633927
499	BRD-A47714657	NYGNBPLXMNXERU-UHFFFAOYSA-N	BRD-A47714657
500	BRD-A47816767	PBZYAPZLINAHET-UHFFFAOYSA-N	BRD-A47816767
502	BRD-A47832959	RTNAIWGSPRZEIT-UHFFFAOYSA-N	BRD-A47832959
503	BRD-A48052484	AYQCZQKMGKDZPS-UHFFFAOYSA-N	BRD-A48052484
505	PHCCC	FPXPIEZPAXSELW-UHFFFAOYSA-N	BRD-A48257147
507	ivermectin	AZSNMRSAGSSBNP-ONDMGMIHSA-N	BRD-A48570745
511	SKF-89976A	TXQKSMSLZVKQBI-UHFFFAOYSA-N	BRD-A49046702
517	RO-60-0175	XJJZQXUGLLXTHO-UHFFFAOYSA-N	BRD-A49370193
519	BRD-A49581300	DFOHGWYKVLANSY-UHFFFAOYSA-N	BRD-A49581300
